station_name,station_id,station_operator,prov,lat,lon,elev,climate_id,WMO_id,TC_id,date,year,month,dir_max_gust,dir_max_gust_flag,extr_max_temp,extr_max_temp_flag,extr_min_temp,extr_min_temp_flag,mean_max_temp,mean_max_temp_flag,mean_min_temp,mean_min_temp_flag,mean_temp,mean_temp_flag,snow_grnd_last_day,snow_grnd_last_day_flag,spd_max_gust,spd_max_gust_flag,total_precip,total_precip_flag,total_rain,total_rain_flag,total_snow,total_snow_flag
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-01-01,1890,01,NA,,-5.6,S,-40,S,-19.9,,-30.8,,-25.4,,NA,,NA,,17.8,,0,,17.8,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-02-01,1890,02,NA,,0,,-39.4,,-15.5,,-27.4,,-21.5,,NA,,NA,,25.4,,0,,25.4,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-03-01,1890,03,NA,,1.7,S,-34.4,,-6.2,,-19.1,,-12.7,,NA,,NA,,6.4,,1.3,,5.1,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-04-01,1890,04,NA,,21.1,S,-11.7,,10.5,,-2.9,,3.8,,NA,,NA,,40.4,,40.4,,0,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-05-01,1890,05,NA,,21.1,,-7.8,S,12.5,,-0.5,,6,,NA,,NA,,117.9,,117.9,,0,T
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-06-01,1890,06,NA,,31.7,,3.3,,25.6,,10.3,,18,,NA,,NA,,10.4,,10.4,,0,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-07-01,1890,07,NA,,35,,4.4,,25.6,,10,,17.8,,NA,,NA,,79.8,,79.8,,0,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-08-01,1890,08,NA,,33.3,,1.1,,21.5,,7.7,,14.6,,NA,,NA,,131.3,,131.3,,0,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-09-01,1890,09,NA,,31.1,,-3.9,S,17.1,,3,,10.1,,NA,,NA,,63.2,,63.2,,0,
BRANDON CDA,3472,NA,MB,49.87,-99.98,362.7,5010485,,,1890-10-01,1890,10,NA,,27.8,,-5.6,,10.6,,0.9,,5.8,,NA,,NA,,37.1,,37.1,,0,
