"Station Name","BRANDON A"
"Province","MANITOBA"
"Latitude","49.91"
"Longitude","-99.95"
"Elevation","409.30"
"Climate Identifier","5010481"
"WMO Identifier","71140"
"TC Identifier","YBR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-09-01 00:00","2017","09","01","00:00","‡","20.8","","17.3","","80","","18","","18","","24.1","","96.21","","26","","","","Cloudy"
"2017-09-01 01:00","2017","09","01","01:00","‡","20.8","","17.2","","80","","17","","27","","24.1","","96.15","","26","","","","NA"
"2017-09-01 02:00","2017","09","01","02:00","‡","20.0","","16.9","","83","","17","","25","","24.1","","96.09","","25","","","","NA"
"2017-09-01 03:00","2017","09","01","03:00","‡","19.4","","16.9","","85","","16","","19","","24.1","","96.07","","","","","","Cloudy"
"2017-09-01 04:00","2017","09","01","04:00","‡","19.2","","17.2","","88","","19","","13","","24.1","","96.08","","","","","","Thunderstorms"
"2017-09-01 05:00","2017","09","01","05:00","‡","18.8","","17.8","","93","","17","","13","","24.1","","96.05","","","","","","NA"
"2017-09-01 06:00","2017","09","01","06:00","‡","18.9","","17.9","","94","","16","","13","","16.1","","96.04","","","","","","Mostly Cloudy"
"2017-09-01 07:00","2017","09","01","07:00","‡","18.3","","17.7","","96","","18","","14","","24.1","","96.03","","","","","","NA"
"2017-09-01 08:00","2017","09","01","08:00","‡","19.9","","17.8","","88","","20","","18","","24.1","","96.01","","","","","","NA"
"2017-09-01 09:00","2017","09","01","09:00","‡","20.6","","18.2","","86","","23","","19","","24.1","","96.02","","27","","","","Cloudy"
"2017-09-01 10:00","2017","09","01","10:00","‡","19.6","","16.7","","83","","27","","26","","24.1","","96.02","","","","","","NA"
"2017-09-01 11:00","2017","09","01","11:00","‡","21.6","","16.8","","74","","28","","20","","24.1","","96.04","","27","","","","NA"
"2017-09-01 12:00","2017","09","01","12:00","‡","24.3","","16.2","","60","","31","","30","","19.3","","96.04","","29","","","","Mainly Clear"
"2017-09-01 13:00","2017","09","01","13:00","‡","25.3","","13.3","","47","","32","","36","","24.1","","96.08","","28","","","","NA"
"2017-09-01 14:00","2017","09","01","14:00","‡","25.5","","13.2","","46","","31","","32","","19.3","","96.10","","28","","","","NA"
"2017-09-01 15:00","2017","09","01","15:00","‡","26.4","","8.0","","31","","31","","28","","24.1","","96.10","","27","","","","Mainly Clear"
"2017-09-01 16:00","2017","09","01","16:00","‡","26.1","","7.9","","31","","33","","32","","24.1","","96.13","","26","","","","NA"
"2017-09-01 17:00","2017","09","01","17:00","‡","25.9","","4.7","","25","","30","","32","","24.1","","96.17","","25","","","","NA"
"2017-09-01 18:00","2017","09","01","18:00","‡","24.0","","4.7","","28","","32","","28","","24.1","","96.19","","","","","","Mostly Cloudy"
"2017-09-01 19:00","2017","09","01","19:00","‡","21.8","","7.2","","38","","32","","17","","24.1","","96.26","","","","","","NA"
