species,id,location,comments,total_sub,total,p,p_total,cat
Northern flickers,c17 female,in,brooding,61.28722564922439,324.11944787144665,18.908839334297625,99.99999999999999,brooding
Northern flickers,c17 female,in,other,12.729280409614246,103.39511374294759,12.311297844558434,100,other
Northern flickers,c17 female,out,brooding,262.83222222222224,324.11944787144665,81.09116066570236,99.99999999999999,brooding
Northern flickers,c17 female,out,other,90.66583333333334,103.39511374294759,87.68870215544156,100,other
Northern flickers,duckwar male 2012,in,brooding,95.3894306172265,241.75554172833762,39.456977877436316,100,brooding
Northern flickers,duckwar male 2012,in,incubating,86.72494912015067,127.59106023126178,67.97102317588684,100.00000000000001,incubating
Northern flickers,duckwar male 2012,out,brooding,146.3661111111111,241.75554172833762,60.543022122563684,100,brooding
Northern flickers,duckwar male 2012,out,incubating,40.86611111111111,127.59106023126178,32.02897682411317,100.00000000000001,incubating
Northern flickers,E_Meldrum,in,brooding,91.31661129395167,368.24300018284055,24.797921820268414,100,brooding
Northern flickers,E_Meldrum,in,incubating,58.03051046060191,107.76328823837969,53.849981203463734,100,incubating
Northern flickers,E_Meldrum,out,brooding,276.9263888888889,368.24300018284055,75.20207817973159,100,brooding
Northern flickers,E_Meldrum,out,incubating,49.73277777777778,107.76328823837969,46.150018796536266,100,incubating
Northern flickers,Firecamp male 2012,in,incubating,24.26361491633786,141.23028158300454,17.18017881461033,99.99999999999999,incubating
Northern flickers,Firecamp male 2012,out,incubating,116.96666666666667,141.23028158300454,82.81982118538966,99.99999999999999,incubating
Northern flickers,rock25male,in,other,139.05744045290683,368.05688489735127,37.7815077394053,100,other
Northern flickers,rock25male,out,other,228.99944444444444,368.05688489735127,62.218492260594694,100,other
White-throated sparrows,1,in,other,1.7586880866686503,550.0070214200019,0.3197573882108067,100.00000000000001,wtsp
White-throated sparrows,1,out,other,548.2483333333333,550.0070214200019,99.68024261178921,100.00000000000001,wtsp
White-throated sparrows,2,in,other,3.3111972510814667,544.2273083621926,0.6084217385280138,100,wtsp
White-throated sparrows,2,out,other,540.9161111111111,544.2273083621926,99.39157826147199,100,wtsp
White-throated sparrows,3,in,other,0,552.5819444444444,0,100,wtsp
White-throated sparrows,3,out,other,552.5819444444444,552.5819444444444,100,100,wtsp
White-throated sparrows,4,in,other,3.0138989908827676,545.930010101994,0.5520669197723153,100,wtsp
White-throated sparrows,4,out,other,542.9161111111111,545.930010101994,99.44793308022768,100,wtsp
