species,id,location,comments,total_sub,total,p,p_total,cat
Northern flickers,c17 female,in,brooding,127.00277435077561,133.76061625023684,94.94780893740892,100,brooding
Northern flickers,c17 female,in,other,38.06655292371909,38.06655292371909,100,100,other
Northern flickers,c17 female,ambig,brooding,6.757841899461216,133.76061625023684,5.0521910625910795,100,brooding
Northern flickers,duckwar male 2012,in,brooding,110.89612493832907,117.89786457485623,94.06118197155166,100,brooding
Northern flickers,duckwar male 2012,in,incubating,44.82199532429377,48.455328657627106,92.50168467743654,100,incubating
Northern flickers,duckwar male 2012,ambig,brooding,7.001739636527168,117.89786457485623,5.938818028448337,100,brooding
Northern flickers,duckwar male 2012,out,incubating,3.6333333333333333,48.455328657627106,7.498315322563453,100,incubating
Northern flickers,E_Meldrum,in,brooding,147.14061092827055,147.14061092827055,100,100,brooding
Northern flickers,E_Meldrum,in,incubating,42.020600650509195,42.020600650509195,100,100,incubating
Northern flickers,Firecamp male 2012,in,incubating,56.65388508366214,56.65388508366214,100,100,incubating
Northern flickers,rock25male,in,other,136.82394843598206,167.19782714055643,81.83356851938018,100.00000000000001,other
Northern flickers,rock25male,ambig,other,18.96943426012993,167.19782714055643,11.34550286002407,100.00000000000001,other
Northern flickers,rock25male,out,other,11.404444444444445,167.19782714055643,6.8209286205957635,100.00000000000001,other
White-throated sparrows,1,in,other,18.35492302444246,167.60201433128782,10.951493093729468,100,wtsp
White-throated sparrows,1,ambig,other,59.45042464017868,167.60201433128782,35.47118743016236,100,wtsp
White-throated sparrows,1,out,other,89.79666666666667,167.60201433128782,53.577319476108165,100,wtsp
White-throated sparrows,2,in,other,25.684636082251867,163.44710401687357,15.71434149093293,100,wtsp
White-throated sparrows,2,ambig,other,81.02607904573281,163.44710401687357,49.573272976049815,100,wtsp
White-throated sparrows,2,out,other,56.73638888888889,163.44710401687357,34.71238553301726,100,wtsp
White-throated sparrows,3,ambig,other,74.63981412582928,165.88536968138482,44.99481435233836,100,wtsp
White-throated sparrows,3,out,other,91.24555555555555,165.88536968138482,55.00518564766165,100,wtsp
White-throated sparrows,4,in,other,21.2327676757839,164.84641872002018,12.8803330036828,100,wtsp
White-throated sparrows,4,ambig,other,90.53281771090296,164.84641872002018,54.919493194854574,100,wtsp
White-throated sparrows,4,out,other,53.08083333333333,164.84641872002018,32.20017380146263,100,wtsp
