species,id,stage,type,high,low
Northern flickers,c17 female,Breeding,hand,0.972222222,0.694444444
Northern flickers,c17 female,Breeding,program,0.9565217391304348,0.8695652173913043
Northern flickers,c17 female,Post-breeding,hand,1,0.875
Northern flickers,c17 female,Post-breeding,program,1,0.8909090909090909
Northern flickers,duckwar male 2012,Breeding,hand,0.941176471,0.588235294
Northern flickers,duckwar male 2012,Breeding,program,0.9428571428571428,0.8285714285714286
Northern flickers,duckwar male 2012,Post-breeding,hand,0.872340426,0.553191489
Northern flickers,duckwar male 2012,Post-breeding,program,0.8095238095238095,0.5476190476190477
Northern flickers,E_Meldrum,Breeding,hand,1,0.952380952
Northern flickers,E_Meldrum,Breeding,program,0.9714285714285714,0.9714285714285714
Northern flickers,E_Meldrum,Post-breeding,hand,0.85,0.125
Northern flickers,E_Meldrum,Post-breeding,program,0.6739130434782609,0.17391304347826086
Northern flickers,Firecamp male 2012,Breeding,hand,0.9375,0.75
Northern flickers,Firecamp male 2012,Breeding,program,0.9629629629629629,0.9629629629629629
Northern flickers,Firecamp male 2012,Post-breeding,hand,0.865853659,0.5
Northern flickers,Firecamp male 2012,Post-breeding,program,1,0.9375
Northern flickers,rock25male,Breeding,hand,1,0.866666667
Northern flickers,rock25male,Breeding,program,1,1
Northern flickers,rock25male,Post-breeding,hand,0.864864865,0.648648649
Northern flickers,rock25male,Post-breeding,program,0.6721311475409836,0.4426229508196721
