species,id,location,total_sub,total,p,p_total,cat
Northern flickers,c17 female,in,525.8596157519685,562.0706843485435,93.55755964420298,99.99999999999999,No_in
Northern flickers,c17 female,ambig,31.945790818797217,562.0706843485435,5.683589574827823,99.99999999999999,No_ambig
Northern flickers,c17 female,out,4.2652777777777775,562.0706843485435,0.7588507809691872,99.99999999999999,No_out
Northern flickers,duckwar male 2012,in,451.70808642566203,563.4029412610663,80.17496064443729,100.00000000000001,No_in
Northern flickers,duckwar male 2012,ambig,71.07985483540429,563.4029412610663,12.616166801739812,100.00000000000001,No_ambig
Northern flickers,duckwar male 2012,out,40.615,563.4029412610663,7.208872553822906,100.00000000000001,No_out
Northern flickers,E_Meldrum,in,355.42625882731545,596.7236506217719,59.562958239877,100,No_in
Northern flickers,E_Meldrum,ambig,156.9060029055675,596.7236506217719,26.294584225390626,100,No_ambig
Northern flickers,E_Meldrum,out,84.39138888888888,596.7236506217719,14.142457534732378,100,No_out
Northern flickers,Firecamp male 2012,in,432.6291594057613,445.83841870698666,97.03720927874842,100,No_in
Northern flickers,Firecamp male 2012,ambig,9.60092596789201,445.83841870698666,2.153454158512508,100,No_ambig
Northern flickers,Firecamp male 2012,out,3.6083333333333334,445.83841870698666,0.8093365627390665,100,No_out
Northern flickers,rock25male,in,370.04755388809576,562.0297163587146,65.84127904936497,100,No_in
Northern flickers,rock25male,ambig,102.28521802617443,562.0297163587146,18.199254425346265,100,No_ambig
Northern flickers,rock25male,out,89.69694444444444,562.0297163587146,15.959466525288763,100,No_out
White-throated sparrows,1,in,119.24611203365856,612.4189574136337,19.47132932286395,99.99999999999999,Wh_in
White-throated sparrows,1,ambig,254.01617871330845,612.4189574136337,41.47751725159994,99.99999999999999,Wh_ambig
White-throated sparrows,1,out,239.15666666666667,612.4189574136337,39.05115342553609,99.99999999999999,Wh_out
White-throated sparrows,2,in,97.93600885636276,612.0719523420598,16.00073463285092,100,Wh_in
White-throated sparrows,2,ambig,299.644832374586,612.0719523420598,48.955818221699495,100,Wh_ambig
White-throated sparrows,2,out,214.4911111111111,612.0719523420598,35.04344714544958,100,Wh_out
White-throated sparrows,3,in,103.01202395968967,604.0027443177833,17.054893364108967,100,Wh_in
White-throated sparrows,3,ambig,257.2504425803158,604.0027443177833,42.59093936251537,100,Wh_ambig
White-throated sparrows,3,out,243.74027777777778,604.0027443177833,40.354167273375666,100,Wh_out
White-throated sparrows,4,in,106.64887547115485,602.276524066925,17.707626183235394,100,Wh_in
White-throated sparrows,4,ambig,284.2190374846591,602.276524066925,47.19078797317968,100,Wh_ambig
White-throated sparrows,4,out,211.4086111111111,602.276524066925,35.10158584358492,100,Wh_out
